obj,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
HIP28066          ,2457283.89519878,0.441767426911216,0.0005058838655298,399.9983,6.90053489654772,-0.009213001754481,HARPS-A,130.1
HIP28066          ,2457283.90023399,0.441121243759882,0.0005606913953019,399.9983,6.90044167283522,-0.0057427871701175,HARPS-A,117.8
HIP28066           ,2457763.6812419,0.442174512802617,0.0005437534396085,399.9982,6.89546616411085,-0.0108946067505264,HARPS-A,121.3
HIP28066           ,2457763.68617229,0.441104627125588,0.0005221621635073,399.9983,6.90042044242409,-0.0090249866183659,HARPS-A,125.7
HIP28066           ,2457808.54663877,0.438674273760676,0.000866082419141,399.9982,6.89447082325583,-0.0071032597521457,HARPS-A,79.1
HIP28066           ,2457808.55156888,0.436352342646025,0.000809600106257,399.9982,6.89700144956196,-0.0126569139821633,HARPS-A,84.3
HIP28066           ,2457809.51868044,0.43768596554935,0.0004821764774581,399.9982,6.89709964128397,-0.0115239525437246,HARPS-A,138.2
HIP28066           ,2457809.52362212,0.437836884461888,0.0004608274612737,399.9982,6.89910482818608,-0.0099648623087613,HARPS-A,144.4
HIP28066           ,2458050.82300851,0.436681509555298,0.0003136952755273,899.9982,6.90115283700757,-0.0091947273481097,HARPS-A,205.4
