HIP,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
69645,2457226.57814304,-2.91364358273308,0.0010588190359712,1299.9983,7.05122956137633,-0.0177256203023064,HARPS-A,64.1
69645,2457227.55663782,-2.91266622424861,0.0007588396015683,1299.9983,7.04856457075875,-0.0158019823662947,HARPS-A,88.3
69645,2457228.55932001,-2.91344181805455,0.0007537175964674,1299.9983,7.05294566723938,-0.0150190658112446,HARPS-A,89.4
69645,2457230.59980762,-2.91186689761657,0.0009925540759793,1299.9984,7.05011767260619,-0.0188306012772919,HARPS-A,67.1
69645,2457587.59219735,-2.91104703902753,0.0010448191107923,1299.9983,7.05346985090424,-0.0119031671664778,HARPS-A,64.9
69645,2457764.85660971,-2.91280435323877,0.0005979784804582,1299.9982,7.05494747552791,-0.0137345250204248,HARPS-A,114.2
69645,2457807.8984712,-2.90885289318029,0.0009777476164102,1299.9982,7.05160080442603,-0.009153657040124,HARPS-A,71.4
69645,2457809.78003079,-2.91062089652158,0.0008225789215768,1299.9982,7.0527625432575,-0.0147244465677576,HARPS-A,84.5
69645,2458608.65708596,-2.90717607961269,0.000979207463518,1299.9983,7.05237858674477,-0.0163124492114028,HARPS-A,69.9
69645,2458609.63770365,-2.90753156521199,0.0009996065317954,1299.9982,7.05708949921906,-0.0154243235560898,HARPS-A,68.5
69645,2458619.63616072,-2.91420700015663,0.0012176206977226,899.9982,7.04565420586268,-0.0122150109487831,HARPS-A,56.4
69645,2458619.7002225,-2.91353621776233,0.0010266757524292,899.9982,7.05145897804895,-0.0151243301549617,HARPS-A,66.8
69645,2458619.77445777,-2.91330280643088,0.0015626003089497,899.9982,7.05121010824242,-0.0211536235196137,HARPS-A,44.3
69645,2458620.58707536,-2.91363538648875,0.0020941772553498,899.9982,7.03892402902132,-0.0189182340723293,HARPS-A,35.4
69645,2458620.64746812,-2.91245599787694,0.0019698137044488,899.9982,7.0523605877209,-0.0136387899080685,HARPS-A,37.3
69645,2458620.72647174,-2.91037617307319,0.0014865964857623,899.9982,7.0557796882504,-0.0166248958354638,HARPS-A,47.2
69645,2458621.63703814,-2.91409647598995,0.0011282441398056,1199.9982,7.05732843703465,-0.0169445390989753,HARPS-A,60.9
69645,2458622.58893375,-2.91387187774178,0.0007719682526947,1199.9982,7.05571903988837,-0.0196223470678536,HARPS-A,88.1
69645,2458623.60163721,-2.91946731473929,0.0014558726906758,1199.9982,7.05738106110473,-0.0189905791161538,HARPS-A,48.7
69645,2458624.60553149,-2.90938213682004,0.0011442081114568,1199.9981,7.05418081077383,-0.0124453841628647,HARPS-A,61.1
69645,2458625.61352145,-2.90947801660176,0.0012094524740359,1199.9981,7.06219350335179,-0.0124329868786606,HARPS-A,58.4
