HIP,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
108158,2452945.54347297,6.61822581982653,0.0004906770599695,899.9961,6.90954791262822,-0.0232668062479382,HARPS-B,120.9
108158,2453218.84711345,6.6143280304966,0.000750006867035,899.977,6.91353868622497,-0.024145221166318,HARPS-B,82.6
108158,2453288.60321916,6.61352394956221,0.0005003383442603,899.9966,6.9173049512025,-0.0225835593455184,HARPS-B,118.5
108158,2453289.58421694,6.61551211131444,0.0027001382325943,59.9831,6.92336152306044,-0.0142601792284642,HARPS-B,26.2
108158,2453289.58522383,6.61281526000919,0.0021322396648715,59.9831,6.91431029044235,-0.0330934741535787,HARPS-B,32.4
108158,2453289.58630016,6.61535463840423,0.0019935669648004,59.9828,6.92670183812522,-0.0245140345333921,HARPS-B,34.0
108158,2453289.58733019,6.61371761677188,0.001975963683541,59.983,6.91370131639266,-0.0259915094591783,HARPS-B,34.3
108158,2453289.58840652,6.61329178359158,0.002055582163309,59.9829,6.90313574901682,-0.0281270893988328,HARPS-B,33.2
108158,2453289.58944813,6.61206440008825,0.0018653352041173,59.983,6.92648864027264,-0.0270297038367318,HARPS-B,35.9
108158,2453289.59048974,6.61244055526053,0.0018555295952754,59.9831,6.91310500339357,-0.0210238708527504,HARPS-B,36.0
108158,2453289.59155449,6.61205849663466,0.0017583460164483,59.9829,6.918820787724,-0.0182153771191977,HARPS-B,37.8
108158,2453289.59260767,6.61271712567159,0.0017150910966094,59.9828,6.91283684634774,-0.0210064106757182,HARPS-B,38.6
108158,2453289.59364928,6.61301865189178,0.0018820994035096,59.9831,6.92189573905337,-0.0258199981690952,HARPS-B,35.6
108158,2453551.88164594,6.61142001226057,0.0005704796727592,900.0024,6.9145358817451,-0.0236976529656356,HARPS-B,105.0
108158,2453580.79051584,6.61091836015901,0.0004086301116816,900.0018,6.9092665480095,-0.023773601309081,HARPS-B,144.2
108158,2453862.91078431,6.60794119266878,0.0003634287165767,900.0021,6.91216444512571,-0.0242439377521304,HARPS-B,160.0
108158,2453950.82371976,6.60679563227258,0.0005486562979911,622.0988,6.92020914248137,-0.0230273705276343,HARPS-B,108.2
108158,2454051.56066613,6.60798588719994,0.0003717331651668,749.9991,6.9140437371249,-0.0217536261836946,HARPS-B,156.9
108158,2454053.5687222,6.60580158210228,0.0003227727207541,749.9981,6.91515803262872,-0.0233584809575778,HARPS-B,179.2
108158,2454347.73250847,6.60162200049886,0.0010920835787869,150.0005,6.92166074560072,-0.0260564612759762,HARPS-B,55.1
108158,2454347.73454543,6.60728625177754,0.001036524324053,150.0003,6.91800870664133,-0.0254963755960418,HARPS-B,57.9
108158,2454347.73668654,6.60469992679805,0.0010114276406052,150.0006,6.91855061233657,-0.0247039282086252,HARPS-B,59.3
108158,2454347.73875822,6.6031014041704,0.0010497605344229,150.0,6.92125346906961,-0.0211127320226066,HARPS-B,57.2
108158,2454347.74088776,6.603387736626,0.0009808193310045,149.9999,6.91537973263418,-0.0217624831109138,HARPS-B,61.0
108158,2454736.60224476,6.60320755145638,0.0005300368827766,900.0,6.92288298902345,-0.0215425308496746,HARPS-B,107.5
108158,2454767.56350684,6.60323225416339,0.0005982982903389,450.0,6.91636716062765,-0.0227628085902776,HARPS-B,96.7
108158,2454767.5689695,6.60209118378725,0.0006216554459626,450.0,6.91556223725672,-0.0209117718563174,HARPS-B,93.1
108158,2455055.86432653,6.59667288920974,0.0005694517570236,899.9994,6.92051295144743,-0.0247702173107385,HARPS-B,100.1
108158,2455056.74311327,6.59638803913134,0.0004581700663056,900.0,6.92139465572101,-0.0236638466604653,HARPS-B,123.7
108158,2456059.92288936,6.58805620202991,0.0004319018972236,899.9998,6.92951753170995,-0.0222713465279663,HARPS-B,130.7
108158,2456062.88900963,6.58936959113302,0.0004476695976648,899.9997,6.93112694024882,-0.0253217164052995,HARPS-B,125.9
108158,2456081.9298811,6.58969530395779,0.0004493279405225,900.0003,6.93291603027473,-0.0246627952368801,HARPS-B,125.2
108158,2456087.88304543,6.5896463978501,0.0008891621061898,900.0001,6.93075979156218,-0.0193761268676029,HARPS-B,65.2
108158,2456192.60295579,6.59008127642241,0.0004571939873746,900.0061,6.93502648332304,-0.0244834425420875,HARPS-B,122.3
108158,2456196.56980934,6.59274083968724,0.0005034066464485,900.0067,6.93269842035731,-0.0216130384167776,HARPS-B,112.2
